Champion,BE,RP,HP,HP+,HP5,HP5+,Resource,MP,MP+,MP5,MP5+,MS,AD,AD+,AS,AS+,Range,Armor,Armor+,MR,MR+,Release Date,Attributes,Birthdate
Aatrox,4800,880,650,114,3,1,Blood Well,,,,,345,60,5,0.651,2.5,175,38,4.45,32,2.05,2013-06-13,Fighter?¥?Tank,2023-06-13
Ahri,3150,790,600,96,5.5,0.6,Mana,418,25,8,0.8,330,53,3,0.668,2,550,21,4.7,30,1.3,2011-12-14,Mage?¥?Assassin,2023-12-14
Akali,3150,790,570,119,9,0.9,Energy,,,,,345,62,3.3,0.625,3.2,125,23,4.7,37,2.05,2010-05-11,Assassin,2023-05-11
Akshan,4800,880,630,104,3.75,0.65,Mana,350,40,8.175,0.7,330,52,3.5,0.638,4,500,26,4.2,30,1.3,2021-07-22,Marksman?¥?Assassin,
Alistar,1350,585,685,120,8.5,0.85,Mana,350,40,8.5,0.8,330,62,3.75,0.625,2.125,125,47,4.7,32,2.05,2009-02-21,Tank?¥?Support,2023-02-21
Amumu,450,260,685,94,9,0.85,Mana,285,40,7.4,0.55,335,53,3.8,0.736,2.18,125,30,4,32,2.05,2009-06-26,Tank?¥?Mage,2023-06-26
Anivia,3150,790,550,92,5.5,0.55,Mana,495,45,8,0.8,325,51,3.2,0.625,1.68,600,21,4.9,30,1.3,2009-07-10,Mage?¥?Support,2023-07-10
Annie,450,260,560,102,5.5,0.55,Mana,418,25,8,0.8,335,50,2.65,0.579,1.36,625,19,4.7,30,1.2,2009-02-21,Mage,2023-02-21
Aphelios,4800,880,580,102,3.25,0.55,Mana,348,42,6.5,0.4,325,55,3,0.64,2.1,550,26,4.2,30,1.3,2019-12-11,Marksman,2023-12-10
Ashe,450,260,640,101,3.5,0.55,Mana,280,35,7,0.65,325,59,2.95,0.658,3.33,600,26,4.6,30,1.3,2009-02-21,Marksman?¥?Support,2023-02-21
Aurelion Sol,4800,880,620,90,5.5,0.55,Mana,530,50,8,0.75,325,55,3.2,0.625,1.5,550,22,4,30,1.3,2016-03-24,Mage,2023-03-24
Azir,4800,880,550,119,7,0.75,Mana,320,40,8,0.8,335,52,3.5,0.625,5,525,19,5,30,1.3,2014-09-16,Mage?¥?Marksman,2023-09-16
Bard,4800,880,630,103,5.5,0.55,Mana,350,50,6,0.45,330,52,3,0.625,2,500,34,5.2,30,1.3,2015-03-12,Support?¥?Mage,2023-03-11
Bel'Veth,6300,975,610,99,6,0.6,None,,,,,340,60,1.5,0.85,0,175,34,4,32,2.05,2022-06-09,Fighter,
Blitzcrank,3150,790,633,109,8.5,0.75,Mana,267,40,8.5,0.8,325,60,3.5,0.625,1.13,125,40,4.7,28,2.05,2009-09-02,Tank?¥?Fighter,2023-09-02
Brand,450,260,590,102,5.5,0.55,Mana,469,21,10.65,0.6,340,57,3,0.625,1.36,550,22,4.7,30,1.3,2011-04-12,Mage,2023-04-12
Braum,4800,880,640,112,10,1,Mana,311,45,6,0.8,335,55,3.2,0.644,3.5,125,47,5.2,32,2.05,2014-05-11,Support?¥?Tank,2023-05-12
Caitlyn,450,260,580,107,3.5,0.55,Mana,315,40,7.4,0.7,325,60,3.8,0.681,4,650,27,4.7,30,1.3,2011-01-04,Marksman,2023-01-04
Camille,4800,880,646,99,8.5,0.8,Mana,339,52,8.15,0.75,340,68,3.5,0.644,2.5,125,35,5,32.1,2.05,2016-12-12,Fighter?¥?Tank,2023-12-07
Cassiopeia,4800,880,630,104,5.5,0.5,Mana,350,60,8,0.8,328,53,3,0.647,1.5,550,18,4.7,32,1.3,2010-12-14,Mage,2023-12-14
Cho'Gath,1350,585,644,94,9,0.85,Mana,270,60,7.2,0.45,345,69,4.2,0.625,1.44,125,38,5,32,2.05,2009-06-26,Tank?¥?Mage,2023-06-26
Corki,3150,790,588,105,5.5,0.55,Mana,350,54,7.4,0.55,325,55,2.5,0.638,2.8,550,28,4.7,30,1.3,2009-09-19,Marksman,2023-09-19
Darius,4800,880,652,114,10,0.95,Mana,263,58,6.6,0.35,340,64,5,0.625,1,175,39,5.2,32,2.05,2012-05-23,Fighter?¥?Tank,2023-05-23
Diana,450,260,640,109,6.5,0.85,Mana,375,25,8,0.8,345,57,3,0.625,2.25,150,31,4.3,32,2.05,2012-08-07,Fighter?¥?Mage,2023-08-07
Dr. Mundo,450,260,613,103,7,0.5,None,,,,,345,61,2.5,0.67,3.3,125,32,3.7,29,2.3,2009-09-02,Fighter?¥?Tank,2023-09-02
Draven,4800,880,685,104,3.75,0.7,Mana,361,39,8.05,0.65,330,62,3.6,0.679,2.7,550,29,4.5,30,1.3,2012-06-05,Marksman,2023-06-06
Ekko,3150,790,655,99,9,0.9,Mana,280,70,7,0.8,340,58,3,0.688,3.3,125,32,4.2,32,2.05,2015-05-29,Assassin?¥?Fighter,2023-05-28
Elise,4800,880,650,109,5.5,0.6,Mana,324,50,6,0.8,330,55,3,0.625,1.75,550,30,5.2,30,1.2,2012-10-26,Mage?¥?Fighter,2023-10-26
Evelynn,1350,585,642,98,8.5,0.75,Mana,315,42,8.1,0.6,335,61,3,0.667,2.1,125,37,4.7,32,2.05,2009-05-01,Assassin?¥?Mage,2023-05-01
Ezreal,1350,585,600,102,4,0.65,Mana,375,70,8.5,0.65,325,62,2.5,0.625,2.5,550,24,4.7,30,1.3,2010-03-16,Marksman?¥?Mage,2023-03-16
Fiddlesticks,1350,585,650,106,5.5,0.6,Mana,500,28,8,0.8,335,55,2.65,0.625,2.11,480,34,4.7,30,1.3,2009-02-21,Mage?¥?Support,2023-02-21
Fiora,4800,880,620,99,8.5,0.55,Mana,300,60,8,0.7,345,68,3.3,0.69,3.2,150,33,4.7,32,2.05,2012-02-29,Fighter?¥?Assassin,2023-02-29
Fizz,1350,585,640,106,8,0.7,Mana,317,52,6,0.8,335,58,3,0.658,3.1,175,22,4.6,32,2.05,2011-11-15,Assassin?¥?Fighter,2023-11-15
Galio,3150,790,632,126,8,0.8,Mana,500,40,9.5,0.7,335,59,3.5,0.625,1.5,150,24,4.7,32,2.05,2010-08-10,Tank?¥?Mage,2023-08-10
Gangplank,3150,790,600,114,6,0.6,Mana,280,60,7.5,0.7,345,64,4,0.658,3.2,125,31,4.2,32,2.05,2009-08-19,Fighter,2023-08-19
Garen,450,260,690,98,8,0.5,None,,,,,340,69,4.5,0.625,3.65,175,38,4.2,32,1.55,2010-04-27,Fighter?¥?Tank,2023-04-27
Gnar,4800,880,580,79,4.5,1.75,Rage,,,,,335,57,3,0.625,6,175,32,3.7,30,1.3,2014-08-13,Fighter?¥?Tank,2023-08-12
